,answer,total_sents_num,ambiguous_sents_num,answer_ambiguity,key_sent_ambiguity
0,전문가들은 이런 거리 소독은 실질적으로 큰 방역효과를 기대하기 어렵다고 입을 모은다 코로나 감염증이 주로 비말 또는 접촉으로 전염되고 트인 공간보다는 좁고 밀폐된 곳에서 감염 위험이 더 크다는 점에서 거리 소독은 방역 효과를 기대하기 어렵다는 지적이다 이런 지적은 년 메르스 사태 당시에도 있었다 한정된 자원을 효율적으로 분배해 감염 위험이 높은 곳에 우선 분배해야 효과적으로 감염 위험을 낮출 수 있다는 차원에서다이동훈 내과 전문의는 도로보다는 사람이 밀집하는 곳의 손이 닿는 부분을 집중적으로 소독하는 것이 감염 예방 차원에서 더 효율적이다라고 말했다 질병관리본부의 방역 지침에도 소독제를 헝겊에 적셔 오염된 표면을 문질러 닦으라고 명시돼있다 분사 방식 특히 압축 공기를 사용한 약품 분사는 표면에 붙어있던 바이러스가 에어로졸화 돼서 확산될 가능성이 있으므로 금지한다는 설명도 덧붙였다전문가들은 도로에 소독약을 뿌리는 방식은 실제 감염 예방 효과와는 크게 관련이 없다고 입을 모은다 사람들이 많이 모이는 곳 특히 손이 많이 닿는 부분을 소독해야 효과가 크다고 말한다 대한의사협회 조승국 공보이사전문의는 도로 소독은 길바닥에 손을 비빈 뒤에 코에 갖다대는 사람이 있지 않는 한 의미가 없다고 평가했다 이어 지자체장 정치인들이 보여주기에 치중해 인력과 약품을 낭비하지 말고 소독이 꼭 필요한 곳에 사용할 수 있도록 의식을 바꿔야 한다고 말했다 고려대학교 의과대학 감염내과 김우주 교수는 소독약을 도로에 뿌리는 것은 크게 방역 효과를 기대하기 어렵다고  지적했다 김 교수는 분사형 방역이 실효성을 갖췄는지 입증해야 할 필요가 있다며 뿌리는 방식보다 소독제를 적셔서 문지르는 것이 효과적이다고 말했다일부 지자체들이 사용하는 연막소독 방식도 전혀 효과를 기대할 수 없다 경유에 소독제를 섞어 고열로 태워서 연기를 내뿜는 이 방식은 방역 효과도 기대할 수 없다 오히려 주민들이 경유를 태운 연기를 들이마셔 건강에 위해를 초래할 수 있다 하지만 하얗게 피어나는 연기가 주는 시각효과 때문에 일부 지자체들은 아직도 이 방식을 사용하고 있는 것으로 알려졌다 주민들이 안심하기 때문에 실질적 효과와는 상관없이 사용한다는 이야기다 년 메르스 사태 당시 일부 지자체들의 무분별한 연막소독이 이어지자 질병관리본부는 자제를 요청하기도 했다 ,16,0,0.0,0
1,조달청에 따르면 제조업체가 원의 생산단가로 만든 공적 마스크는 천원에 조달돼 약품 유통업체인 지오영과 백제약국에 공급됨 유통업체는 이를 천원에 전국 천여개 약국에 납품하고 약국은 천원에 소비자에 판매 함인터넷 커뮤니티 등에서는 제조업체는 원의 마진을 보는데 유통업체와 약국이 그 두 배인 원의 이익을 얻는다는 것은 납득하기 어렵다는 등의 지적이 제기됨이에 대한약사회는 약국에서 천원에 판매하던 보건용 마스크를 천원에 공적 판매하기 때문에 오히려 마진이 줄었다는 입장 유통업체들도 기존 마스크 유통마진보다 줄었다고 주장유통 전문가들도 전국 천여개 약국에 소량의 마스크를 일일이 납품해야 하는 유통구조와 본인 확인을 하며 판매해야 하는 사정 등을 감안하면 인 유통판매마진은 결코 높은 수준이 아니라고 평가함,1,0,0.0,0
2,중국에 마스크 보내느라 정작 우리는 의료현장에도 마스크가 부족하다 안철수 전 의원이 지난 일 자신의 페이스북에서 밝힌 내용이다 안 전 의원은 중국의 눈치를 보는 것보다 우리 국민의 생명과 안전이 먼저이다 방역과 정치는 분리돼야 한다면서 이렇게 주장했다신종 코로나 바이러스 감염증우한폐렴 사태 이후 마스크 문제는 관심의 초점이다 의료 현장에 마스크가 부족한 게 사실이라면 일반인의 불안감은 더 커질 수 있다신종 코로나 문제는 국민의 공포와 맞물린 사안이다 국민의 생명 안전과 직결되는 문제라는 점에서 정확한 정보 확인이 중요하다는 얘기다시민들은 신종 코로나 사태 이후 마스크 구입에 어려움을 겪고 있다 엄밀히 말하면 마스크를 구할 수 없는 것은 아니지만 체감 가격이 뛰었다 신종 코로나 사태 이전에는 주요 쇼핑몰에서 가장 많이 팔리던 KF 마스크 개 당 가격이 원 수준이었다하지만 신종 코로나 사태 이후 원 이하 가격에 KF 마스크를 사는 것은 쉽지 않다 주요 쇼핑몰에서 구매 가능한 KF 마스크는 개 당 가격이 원 수준이다 동일한 제품의 가격이 몇 배로 뛴 것일까 그런 사례보다는 저렴한 물건이 대부분 매진되고 상대적으로 고가인 제품만 구매 가능한 상황이 이런 결과를 견인했다주요 쇼핑몰에서 저가 마스크 대량 구매가 어려워진 이유는 무엇일까 일각에서 주장하는 것처럼 중국에 마스크를 보냈기 때문일까 정부가 중국 눈치를 보느라 우리 국민 특히 의료현장처럼 마스크가 반드시 필요한 영역까지 영향을 미친 것일까마스크 부족은 여러 가지 원인이 복합적으로 얽혀 있는 사안이다 마스크 부족 얘기가 언론에 자주 노출되면서 비상용으로 확보해놓으려는 소비 심리가 확산한 것과도 관련이 있다 중국 보따리상이 매매차익을 위해 대량 구매를 시도한 게 원인이라는 시각도 있다 국내 마스크 유통 상인들도 마찬가지다 마스크를 대량으로 챙겨놓은 뒤 시세 차익을 노릴 수 있다는 얘기다 일부 업자들이 마스크 유통 흐름에 제동을 걸어 매점매석에 나설 것이란 우려는 현실이 됐다식품의약품안전처 위해사범중앙조사단은 인터넷으로 마스크를 판매하는 A업체의 불법거래 행위를 적발했다 A업체는 인터넷을 통해 보건용 마스크 만개를 현금 억원에 판매하겠다고 광고해 구매자를 고속도로 휴게소로 유인한 후 보관 창고로 데려가 판매하는 수법으로 정부의 단속을 피해 온 것으로 조사됐다업체 관계자들은 공장 창고에 마스크 만개를 보관하다 단속에 적발되자 창고를 잠그고 일부는 도주했다유통업체인 B사는 온라인 마켓으로 보건용 마스크를 판매하고 있었는데 지난달 일부터 월일까지 재고가 충분히 있었음에도 품절로 표시했으나 창고에는 만개의 재고를 보유하고 있었던 것으로 드러났다일부 업자들의 행위가 시중의 불안 정서를 자극했다는 게 정부의 판단이다 기획재정부에 따르면 마스크 일 생산규모는 만개로 신종 코로나 발병 이전의 만만개보다 큰 폭으로 증가했다 정부는 매점매석과 불공정거래 행위에 대한 단속을 강화해나갈 방침이다이처럼 마스크 수급 상황에 영향을 미치는 변수는 다양하다 그렇다면 의료현장에 마스크가 부족하다는 주장과 부족의 원인이 중국에 마스크를 보냈기 때문이라는 주장은 어떻게 받아들여야 할까 윤태호 중앙사고수습본부 총괄반장은 지난 일 정례 브리핑에서 질병관리본부에서 의료용 마스크를 비축하고 있다면서 각 시ㆍ도에서 요청한 수요만큼 할당이 됐고 추가 요청이 오면 즉각적으로 지원을 하는 방식이라고 설명했다정부는 부족함을 느끼지 않도록 마스크를 제공할 방침이라고 전했지만 일선 의료현장에서는 마스크 부족을 경험하고 있는 것은 아닐까 김대하 대한의사협회 홍보이사는 의료현장에서 당장 마스크가 부족한 정도는 아니지만 추세를 감안하면 안정적인 공급을 원하는 목소리가 있다고 설명했다의료현장에서도 신종 코로나 사태가 장기화할 경우 마스크 수급이 어려워질 수 있다는 불안감이 감지되고 있다는 얘기다 다만 의료 현장의 불안감을 마스크가 부족하다는 주장의 근거로 연결 짓기에는 무리가 있다 중국에 마스크를 보내느라 의료현장에 마스크가 부족하다는 논리 전개 역시 뚜렷한 근거를 발견하기는 어려운 상황이다  김대하 의협 홍보이사는 의료계 입장에서는 시중 품귀현상이 일어나는 게 중국 때문이다 이렇게 말할 만한 상황은 아니다라면서 마스크 공급이나 이런 부분은 저희가의협이 요구를 하고 있고 정부도 대책을 마련해주겠다고 하는 상황이니 일선 의료기관에서도 불안하지만 기대를 하고 있는 상황이라고 설명했다,29,0,0.0,0
3, 중국인 마스크 사재기 막으려고 마스크에 타이완기 그려넣었다 검증내용 일본의 팩트체크 전문가그룹인 팩트체크 이니셔티브 재팬FIJ는 사실이 아니라고 판단했다 인터넷 정보를 토대로 분석한 결과 해당 마스크가 처음 공개된 건 년 월 일이라는 것이다 신종 코로나 바이러스가 알려지기 훨씬 전이다 실제로 해당 마스크를 파는 타이완의 인터넷 쇼핑몰에서도 월 이전의 상품 후기를 찾아볼 수 있었다 FIJ는 중국인 사재기에 대한 반감이 허위 정보로까지 이어진 것으로 분석했다  전혀 사실 아님 ,7,0,0.0,0
4,실제 한국의 코로나  검사 건수 통계와 미국의 코로나  검사 건수 통계 비교검증 내용벅스 조정관이 지난 일간 미국에서 만건의 검사를 했다면서 그것을 한국의 주간 누적 건수와 비교한 만큼 일까지 주 동안 한국에서 이뤄진 검사 건수 즉 월 일부터 월 일까지의 검사 건수를 살펴봤다 한국의 코로나 검사 건수 최신 통계  질병관리본부 홈페이지 캡처연합뉴스                                미국이 지난 일간 했다고 밝힌 건수만건  실제 한국이 최근 주간 실시한 건수만천건한국 질병관리본부질본에 따르면 검사 건수를 집계하기 시작한 월일부터 이달 일 시한국시간까지의 검사 누계는 만천건이하 인원수 기준이다  여기서 질본이 월 일오전 시 기준까지의 누계라고 밝힌 검사 건수건를 빼면 만천건이다미국이 지난 일간 했다고 밝힌 건수만건보다 한국이 최근 주간 실시한 건수가 만여건 더 많은 것이다 미국이 여태까지 실시한 전체 검사 건수를 가지고 비교하면 만여건 대 만여건으로 미국이 근소하게 많지만 벅스 조정관이 언급한 미국의 일간 검사 건수와 한국의 주 검사 건수를 비교하면 한국 쪽이 훨씬 많다  한국의 최근 통계가 아닌 이전 통계를 인용한 것으로 보임미국 언론 보도에 따르면 벅스 조정관은 의도적으로든 실수로든 한국의 최근 통계가 아닌 이전 통계를 인용했던 것으로 보인다 미국의 정치 전문지 더 힐The Hill에 따르면 벅스 조정관은 한국이 여태 만 건의 테스트를 했다고 말했다 질본이 매일 발표하는 누적 검사 건수상 한국이 누적 검사건수 만 건을 넘어선 것은 지난 일이다 일주일 전의 한국 통계를 가지고 비교한 것일 수 있는 것이다Birx US has done more testing in  days than South Korea  in  weeks  더 힐The Hill 기사 캡쳐  미국의 코로나 검사 속도가 한국을 상회하는 것은 사실로 보임 미국이 전시戰時에 준하는 총력 방역 태세에 나선 상황에서 미국의 코로나 검사 속도가 한국을 상회하는 것은 사실로 보인다벅스 조정관은 미국이 하루 만만건의 테스트를 하고 있다고 소개했는데 한국은 확진자 증가 속도가 최정점 대비 둔화하는 흐름 속에 지난 일 이후 하루 만건 안팎의 검사 건수를 기록하고 있다권계철 대한진단검사의학회 이사장은 일 연합뉴스와의 통화에서 벅스 조정관의 발언은 미국이 최근 검사를 많이 했다는 것을 자랑하기 위한 것 같다며 미국이 거의 검사를 하지 않다가 최근에 뉴욕주 등을 중심으로 급격히 많은 검사를 하고 있는 것은 사실이라고 말했다  미국 언론 검사 건수 단순 비교는 난센스한편 미국 언론은 미국 인구가 한국의 배 이상인 상황에서 검사 건수를 단순 비교하는 것 자체를 난센스로 보는 분위기다미국 공영라디오 방송사인 NPR은 일 한국의 인구는 천만 명이고 미국은 억천만 명이라고 소개했다 그러면서 두 나라 모두 만명 가량 검사를 했는데 이는 한국에서는 명당 명을 했다는 것이고 미국에서는 천명당 명을 했다는 것이라며 이는 한국이 미국에 비해 인구당 배 이상 많은 검사를 진행했다는 의미라고 보도했다AP통신도 미국의 검사 규모가 늘어나고 있는 것은 반가운 소식이지만 한국과 비교하는 것은 매우 부적절하다고 썼다확인 결과 미국 일간 코로나 검사 건수가 한국 주 건수보다 많다는  벅스 조정관의 발언은 사실과 거리가 있어 보인다 ,15,1,0.067,0
5,결론부터 말하자면 코로나의 예방을 위해 항바이러스제와 말라리아 치료제 클로로퀸을 조기에 투여해야 한다는 주장에 대한 팩트체크 결과는 충분한 시간을 갖고 임상적 경험을 쌓은 뒤에 과학적으로 결론 내려야할 문제라고 하겠다 중국의 코로나 치료현장과 프랑스의 소규모 임상 시험에서 치료 효과가 입증됐다는 논문이 발간되기는 하지만 의학계는 좀 더 객관적으로 효능과 안전성이 입증돼야 한다고 입을 모은다여태껏 인류가 모르고 있던 신종 감염병인 코로나는 아직 확실한 치료 및 예방약이 발견되지 않았다 여러가지 가능성을 열어 두고 다양한 약물을 실제 치료 현장에 적용하며 효과를 검증하는 단계이다 따라서 현 시점에서 어떤 약물이 효과가 있다 어떤 것을 준비해 놓아라하는 주장은 일반 의료 소비자들이 귀담아 들을 필요가 없다 방역 당국의 권고인 손씻기 사회적 거리두기를 충실히 따르고 증상이 있다면 선별 진료소를 방문해 검진을 받고 경우에 따라 의료진의 지시를 따르면 그만이다코로나의 미국 내 확산을 재선가도의 걸림돌로 여기는 트럼프 미국 대통령은 연일 트위터를 통해 클로로퀸과 관련된 희망가를 부르고 있다 하지만 현재까지는 그의 조급증의 발로라는 평가가 많다 오히려 약물 오남용으로 인한 사망 사고가 발생하고 미국 내 클로로퀸 약품 가격이 급등하는 등 부작용도 속출하고 있다 항바이러스제란항바이러스제는 바이러스에 의한 감염질환을 치료하는 약물이다 질환군에 따라 독감 치료제 헤르페스 치료제 B형간염 치료제 C형간염 치료제 에이즈 치료제 등으로 분류하며 경우에 따라 한 약물이 여러 질환에 사용되기도 한다 질환에 따라 바이러스의 내성 발현을 방지하기 위해 두 가지 이상 약물의 병용 요법이 필수인 경우가 있으며 정해진 용법과 기간을 반드시 지켜야 한다 작용기전 별로는 바이러스 부착 및 침투 억제제 바이러스 증식 저해제가 있다코로나 치료 또는 예방효과가 증명됐나코로나 감염증은 기본적으로 코로나바이러스가 일으키는 바이러스성 질환이다 따라서 근원적인 치료가 이뤄지려면 항바이러스제가 필수적이다 하지만 코로나는 여태껏 인류가 알지 못했던 신종 감염병이라 맞춤형 치료제는 없는 상태이다 예방 백신도 당연히 없다 전세계 의료진들은 코로나 환자를 치료하기 위해 다른 병을 치료하는 데 쓰였던 여러가지 항바이러스제를 동원하고 있다 말라리아 치료제인 클로로퀸 또는 하이드록시클로로퀸 에이즈 치료제인 칼레트라 에볼라 치료제 렘데시비르 신종플루 치료제 아비간 등이 코로나 치료를 위해 전세계 의료 현장에서 쓰이는 약물이다클로로퀸과 하이드록시클로로퀸이란 무엇인가클로로퀸과 하이드록시클로로퀸은 원래 말라리아 치료제로 개발된 약물로 동일한 작용기전을 나타낸다 차츰 류머티스 관절염과 루푸스병 치료로 사용 범위가 넓어졌다 클로로퀸은 년대 개발된 약물이며 이것의 부작용을 낮춘 게 하이드록시클로로퀸하이드로클로로퀸이다중국과 프랑스에서 치료 약물로 사용돼 우수한 효과를 거뒀다는 소규모 임상시험 보고가 나왔다 트럼프 미국 대통령은 이런 소규모 임상시험에 관한 소식을 접한 뒤 최근 트위터를 통해 신의 선물이 될 수 있다고 말하는 등 지속적으로 찬사를 보냈다  이후 미국에선 클로로퀸 관련 약품의 가격이 상승하고 일부에선 품귀현상까지 빚는 등 관심이 늘어나고 있다하지만 충분히 검증될 때까지는 임의로 관련 약품을 복용하는 것은 매우 어리석은 행위이다 실제 미국의 대 부부가 클로로퀸 관련 뉴스를 접한 뒤 어항 청소용 클로로퀸 제품을 복용한 뒤 남편은 사망하고 아내는 중태에 빠지는 사고가 발생하기도 했다국내 코로나 발병 초기에는 SNS를 통해 항바이러스 효과가 가장 우수한 부작용 없는 약이니 처방전을 받아 상비해 놓으라는 정보가 떠돌았다 이후 병원가에는 클로로퀸하이드록시클로로퀸 처방을 요구하는 환자들이 꾸준히 찾아오고 있다고 한다 해외에서 쉽게 구할 수 있다유튜브와 인터넷 게시판을 통해 일부 업자들이 검증되지 않은 예방적 효과를 주장하고 있다 해외 구매 대행 서비스를 제공하는 업자들도 난립하고 있다 청와대 국민청원 사이트에도 클로로퀸의 처방을 쉽게 해달라는 글이 올라와있다 게시자는 일본에서는 클로로퀸을 쉽게 구할 수 있어 예방 목적으로 투여하는 경우가 많다 우리 국민 일부도 해외 직구를 통해 구매해 예방 목적으로 먹고 있다고 한다고 주장했다하지만 일본 이야기는 사실과 다르다 뉴스톱이 확인할 결과 일본 국내에선 클로로퀸은 부작용 때문에 시중에 판매되지 않고 있다 일본에선 년대 클로로퀸 복용자들이 시력저하 등 부작용을 나타내 클로로퀸 망막증 사건이라는 의약품 사고로 널리 알려졌다 이 약품의 작용 기전은 살리고 부작용을 줄여 개발된 약품이 하이드록시클로로퀸이다클로로퀸과 하이드록시클로로퀸을 예방 목적으로 사용하는 것에 대해 의료계에선 확실한 검증이 필요하다는 입장이다 앞서 트럼프가 언급한 임상시험은 명의 환자를 대상으로 한 소규모 시험일 뿐이다 세계 각국은 치료제 효과를 검증하고 신약을 개발하기 위한 임상시험에 돌입했다한국도 치료제 개발을 위한 임상시험에 돌입했다 권준욱 중앙방역대책본부 부본부장은 일 오후 정례브리핑에서 하이드록시클로로퀸 등을 투여하는 임상시험을 추진할 예정으로 질병관리본부 국립보건연구원이 추경예산 억원을 확보해 치료제 개발 다른 민관 연구협력 등을 진행할 것이라고 밝혔다 정부가 추진하는 임상은 하이드록시클로로퀸 투여를 통한 코로나 예방 그리고 치료효과를 보는 시험과 인간면역결핍바이러스HIV 치료제항에이즈 칼레트라 투여로 치료효과를 보는 시험 기존 승인 약물 또는 개발 중인 약물 시험 혈장치료제를 이용한 시험 등이다일 브리핑에서 권준욱 중앙방역대책본부 부본부장은 논란이 일고 있는 클로로퀸에 대해 이렇게 밝혔다 전문가분들 내에서도 당연히 신종 감염병인 한은 다양한 의견이 있을 수밖에 없고 미국의 경우에도 현재 렘데시비르와 함께 하이드록시클로로퀸에 대해서는 한창 임상시험이 진행 중에 있는 상황입니다 누구도 지금 효과가 어떻다고 얘기할 수는 없는 상황이기 때문에 그럼에도 불구하고 일부라도 그러한 가능성에 대해서 전문가로서 의견을 제시해온 이상 또 대한병원감염관리학회에서도 이러한 연구용역을 통해서 임상시험을 시도하겠다고 지금 준비하고 있는 상황에서 저희 질병관리본부 국립보건연구원에서는 추경에 확보된 예산을 가지고 최대한 과제가 진행돼서 성과가 어떻게 되는지 확인하도록 하겠습니다결론을 내리면 클로로퀸하이드록시클로로퀸은 말라리아 치료제로 허가받은 약물로 코로나 치료와 예방에 효과가 있는지 효과가 있는지 없는지는 아직 충분히 검증되지 않았다 이런 식으로 코로나에 효과가 있다고 주장하는 성분은 여럿이 있다 최종적인 판단은 유보이지만 팩트체크와는 별개로 의료와 관련한 사안에서 판단을 유보한다는 것은 아직 믿으면 안된다는 의미이다 자신의 신체로 사실인지 거짓인지 실험을 할 수는 없기 때문이다,45,0,0.0,0
6,카카오톡과 SNS 등을 중심으로 유포되고 있는 이 가짜뉴스에는 주민번호로 마스크를 구매하면 큰일난다 우리 정보가 중국으로 넘어가 해킹을 통해 불법 선거 조작에 이용된다고 한다 마스크를 만들어 사용하자는 내용이 담겨 있다 이 가짜뉴스는 한 보수 유튜버의 방송에서 비롯된 것으로 파악된다  이 유튜버는 문제의 영상에서 마스크 부제로 모든 신상정보와 위치를 다 파악할 수 있다 국민 통제를 할 수 있는 시스템이 만들어지는 것이다 선거 전까지 이걸 하려고 한다 그래야 여러분들이 스마트폰으로 투표를 했을 때 해킹이 가능하다 어디에 사는지가 바로 지역구를 나타내고 휴대폰 번호가 여러분의 지역구 내 연락망이라고 주장했다식약처 관계자는 CBS노컷뉴스와의 통화에서 주민등록번호 등록은 본인 확인과 중복구매를 막기 위한 것이라며 병원에서 진료를 받을 때나 약국에서 처방전 등록을 할 때 주민등록번호를 입력하는 것과 비슷하다고 보면 된다 중복구매 확인용으로만 활용될 뿐 다른 기관에 개인정보가 제공되는 일 등은 없다고 선을 그었다 ,7,0,0.0,0
7, 비타민 C가 신종 코로나를 퇴치한다 검증내용 해당 페이스북 글에선 필리핀 보건부가 한 이야기처럼 주장하고 있다 그러나 BBC는 필리핀 보건부 홈페이지나 보도자료에서 관련 정보가 전혀 없다고 전했다 실제로 필리핀 보건부 홈페이지에서 비타민 C를 검색해봐도 신종 코로나바이러스와 연관된 글을 찾을 수 없었다 정부의 공식 보도인 것처럼 꾸며 SNS로 퍼트린 허위 정보인 것이다 워싱턴포스트도 비타민 C는 코로나바이러스를 예방하거나 치료할 수 없다고 못 박았다 CNBC 역시 SNS에 떠도는 허위 정보라고 일축했다 전혀 사실 아님 ,7,0,0.0,0
8, 자외선 손 건조기 바이러스 살균효과 있다 검증내용세계보건기구 WHO는 No효과가 없다라고 못 박았다 세계보건기구는 손 건조기는 신종 코로나바이러스를 죽이는 데 효과가 없다며 신종 코로나바이러스 감염을 막기 위해서는 알코올 성분이 들어간 손 세정제나 비누를 이용해 손을 자주 소독하거나 씻어야 한다고 밝혔다 이어 손을 씻고 난 뒤에는 종이 타월이나 건조기로 완전히 말리는 것이 좋다고 강조했다 질병관리본부도 비슷한 입장이다 질병관리본부 감염병 연구담당 관계자는 어차피 비누로 손을 씻으면 바이러스가 죽거나 씻겨 내려가는 효과가 있는데 그 뒤에 건조기로 말려서 바이러스를 없애는 효과를 기대하는 건 불필요해 보인다고 밝혔다 다만 손을 씻지 않고 건조기로 초 말리기만 했을 때 신종 코로나바이러스가 죽는지에 대해서는 연구 근거가 아직 없어 효과를 단정하기 어렵다고 덧붙였다 건조기와 유사하게 자외선램프를 쬐는 것도 신종 코로나바이러스를 죽이는 데 효과가 있다는 소문도 있었다 세계보건기구는 이 소문에 대해서도 자외선램프로 손이나 피부를 살균하면 자외선이 피부 염증을 유발할 수 있기 때문에 사용해서는 안 된다UV lamps should not be used to sterilize hands or other areas of skin as UV radiation can cause skin irritation고 설명했다 결국 신종 코로나바이러스 감염증 예방을 위해서 가장 중요한 건 손을 제대로 자주 씻는 것이고 타월이든 건조기든 잘 말리기만 하면 된다는 것이다 전혀 사실 아님  ,11,0,0.0,0
9,월 일 YTN라디오 노영희의 출발 새아침 최재욱 고려대학교 의과대 예방의학과 교수 인터뷰 내용 중사회적 거리두기에는 학교 폐쇄 직장 폐쇄 직장 재택근무 등 여러 가지 방식이 있습니다 이 부분은 이제부터는 계속 하면 지나칩니다  학교 폐쇄의 경우 주 이상 지나면 효과가 감소되기 때문에 학교 폐쇄는 하지 말라고 되어 있고요 직장 폐쇄도 함부로 결정하거나 법제화 하지 말라고 되어 있는 것이 세계 각국의 공통적인 견해입니다 사회적 거리두기 계속 하면 지나치다  최 교수 발언의 정확한 취지 들어보기 위해 전화 인터뷰학교 폐쇄의 효과는 주까지다   방역 관련 전문가 및 전문기관의 지침 비교 최재욱 교수 사회적 거리두기 중단해야 한다는 것 아냐 지침 구체화돼야 한다는 의미정부는 여전히 사회적 거리두기의 중요성을 강조하고 있다 지난 일 김강립 중앙재난안전대책본부 총괄조정관은 아직 사회적 거리두기 완화 방침을 말할 단계 아니다라고 말했다사회적 거리두기는 광범위한 개념이다 외출 자제 등 개인적 수준부터 휴업휴교 등 사회경제적 영향이 큰 수준까지 사람 간 접촉을 줄이는 모든 방식을 아우른다 최 교수 주장대로라면 모든 조치를 중단하고 신종 코로나바이러스 이전의 일상으로 돌아가도 되는 것일까 최 교수는 세계일보와 통화에서 모든 사회적 거리두기를 중단해야 한다는 의미는 아니다라고 해명했다 최 교수는 다만 어떤 방식이 유효하고 어떤 방식은 유효하지 않은지에 대한 과학적 검토 없이 무조건 사회적 거리두기를 강조하는 게 잘못됐다는 것이라고 말했다 구체적인 지침 혹은 과학적 검토 없이 추상적인 수준의 거리두기를 국민에게 요구하는 정부를 비판하기 위해서였다며 이는 신종 코로나 바이러스 확산의 책임을 정부가 아닌 개인에게 돌리는 것이라는 게 최 교수의 설명이다                                            출처 질병관리본부      지난 일 질병관리본부 중앙방역대책본부가 발표한 전파 양식에 따른 코로나 감염 예방 수칙에도 사회적 거리두기 실천이라는 항목이 있기는 하지만 구체적인 지침이 없다고 최 교수는 지적한다 휴교 방역 효과 주까지 주장은 전문가마다 의견 달라 최 교수가 휴교 방역의 효과를 주까지로 본 데 대해 전문가마다 의견이 달랐다 최 교수는 휴교 주까지는 감염병 차단 효과가 계속 높아지지만 그 이후론 별다른 차이가 없기 때문에 아무리 길어져도 주까지가 적절하다고 주장했다                                      출처 미국 질병통제예방센터CDC미국 질병통제예방센터CDC는 지난 일 최 교수 주장과 상반되는 지침을 발표했다 질병통제예방센터는 홈페이지를 통해 코로나 확산을 방지하려면 최소 주 이상 하라는 내용이 담긴 공지문을 올렸다 단기 휴교주는 확산 방지에 전혀 영향을 끼치지 않으며 장기 휴교주를 실시할 때에야 일부 영향을 끼친다는 설명이었다 이재갑 한림대 감염내과 교수는 개학 시점은 지역사회 감염의 양상이 안정될 때라고 주장했다 기모란 국립암센터 국제암대학원 교수도 지역사회 감염이 사라진 뒤에야 휴교 종료 가능하다고 주장했다 이들은 휴교가 효과를 발휘하는 기간이 정해져 있다고 본 최 교수와 달리 신종 코로나바이러스 확산 국면이 진정될 때가지 휴교 종료를 판단하는 건 시기상조라고 봤다  최 교수의 주장은 두 가지였다 사회적 거리두기 계속 하면 지나치다라는 것과 휴교의 방역 효과는 주까지다라는 것이다   첫 번째 발언은 전혀 사실 아님으로 판정할 수 있다 최 교수도 세계일보와의 통화에서 사회적 거리두기 자체는 계속돼야 한다고 강조했기 때문이다 애초 최 교수가 지나치다고 강조한 건 사회적 거리두기가 아니라 사회적 거리두기에 대한 정부의 추상적인 지침이었다  두 번째 발언은 판단 보류로 판정할 수 있다 전문가마다 의견이 다르기 때문이다 질병통제예방센터의 경우 휴교는 최소 주 이상일 때 유효하다며 최 교수와 완전히 상반되는 지침을 발표하기도 했다 이재갑 한림대 감염내과 교수와 기모란 국립암센터 국제암대학원 교수의 경우 휴교의 방역 효과 기한이 따로 있다고 보지 않았다  ,28,2,0.071,0
