,answer,total_sents_num,ambiguous_sents_num,answer_ambiguity,key_sent_ambiguity
0,"안녕하세요. 한국공인노무사회-네이버 지식iN 상담 공인노무사 김정식 입니다. 1. 천재사변에 해당하지 않습니다. 2. 해고대상자 선정은 공정해야 하므로 공정하지 않을 수 있습니다. 이 부분은 쉽게 판단할 수는 없습니다. 3. 사실이 아닙니다. 권고사직 거부하면, 경영상의 이유에 의한 해고(정리해고)를 해야하고, 해고예고수당도 줘야하고, 근로자는 실업급여 당연히 받을 수 있습니다. 속지 마세요. 물론 피보험단위기간 등 다른 요건을 갖춰야합니다.",9,2,0.222,1
1,안녕하세요. 로시컴-네이버 지식iN 상담 공인노무사 박병규 입니다. 급여삭감은 근로시간을 그대로인 전제하에 급여가 종래보다 적어지는 개념입니다. 급여삭감은 직원의 동의가 없으면 일방적으로 회사가 삭감할 수 없으며 동의없이 일방적으로 삭감된 급여를 지급하는경우 임금체불이 구성됩니다. 임금체불이 2개월 이상 지속된 경우 자발적 사직이라 할지라도 실업급여 수급자격을 갖습니다. 삭감에 동의를 했다면 평균임금은 삭감지급된 급여를 기준으로 산정되며 삭감에 동의를 하지 않았다면 - 비록 퇴사전 회사가 일방적으로 삭감된 급여를 지급했다 하더라도 - 원래 급여를 기준으로 평균임금이 산정됩니다.,7,0,0.0,0
2,"안녕하세요. 한국공인노무사회-네이버 지식iN 상담 공인노무사 김재현 입니다. 1. ① 해당 사례의 경우 법정근로시간인 하루 8시간 이내에서는 통상임금만 추가로 지급해도 무방하며, 8시간이 넘어가는 근로에 대해 1.5배를 가산하여 주면 됩니다.② 해당 사례의 경우(월급제라고 가정) 입사일인 화요일 이전의 날짜를 주휴수당이 포함된 월급에서 일할계산해서 제외하면 될 뿐, 별도로 주휴수당을 미지급하는 문제는 발생하지 않습니다. 2. 소정근로일이 화요일부터 토요일인 것이므로 토요일 8시간 이내의 근무는 소정근로입니다.따라서 말씀하시는 게 맞습니다. 3. 1일 8시간, 1주 40시간인 법정근로시간을 초과하여 근로하는 경우 연장근로로서 통상임금의 1.5배를, 주휴일에 근로하게 되는 경우 휴일근로로서 통상임금의 1.5배를 가산하여 주게 되는 것이지, 특정 요일에 근로를 시작하는 것이 주말 근무의 특근 여부를 결정하는 것은 아닙니다. 예컨대, 월요일부터 금요일까지 1일 8시간씩 일했다면 토요일 근로는 연장근로가 되겠지만, 월요일부터 금요일까지 1일 6시간씩 일했다면 토요일 근로 또한 8시간 범위 내에서는 연장근로라 볼 수 없게 됩니다. 4. 월급제의 경우 기본적으로 주휴수당이 월급에 포함되어 있고, 코로나로 인해 1주 소정근로일 중 일부 날짜를 휴무할 경우 근로자 귀책사유에 의한 휴업이 아니므로 주휴수당을 공제할 수 없습니다.이러한 경우 휴무하는 날에 대해서 평균임금 70% 이상의 휴업수당을 지급하여야 하는데, 만약 1주 소정근로일을 모두 휴무하게 되는 경우에는 해당 주의 주휴수당 또한 70%를 지급하게 되지만, 만약 1주 소정근로일 중 단 1일이라도 출근했다면 해당 주의 주휴수당은 100%를 지급하여야 합니다. 5. 주휴일을 토요일 또는 일요일 중 하나로 반드시 국한해야 하는 것은 아니며, 일주일 중 1일을 특정하기만 하면 됩니다. 또한 같은 회사라고 하여도 직원별로 다르게 정할 수도 있는 것입니다. 말씀하신 사례처럼 주5일 근무하는 회사라면 토요일로 하든, 일요일로 정해서 시행하든 큰 의미는 없습니다.",13,1,0.077,0
3,"안녕하세요. 한국공인노무사회-네이버 지식iN 상담 공인노무사 박기홍 입니다. 질의하신 내용에 대하여 아래와 같이 답변드립니다. 답변) 무급휴가 등 회사의 사정에 따른 명령에 대한 대처 - 통상적으로 회사의 경영상의 범주에 속하는 위험에 부수하여 이루어지는 휴업의 경우에는 근로기준법에 따라 귀책이 회사에 있다고 간주하여 근로자에게 근로기준법에 따른 휴업수당을 지급해야 합니다. - 다만, 최근 바이러스 감염 등의 사유로 휴업을 하는 경우는 사용자/회사에게 귀책사유가 없으므로 휴업수당의 지급 의무가 없다고 고용노동부는 해석하고 있습니다. - 따라서, 사업장의 부서/지점에 확진자가 없는 경우라도 인근의 상황 및 종합적인 지역여건을 고려하여 휴업조치 또는 무급휴가 시행이 가능하다고 판단되며, 지점의 위치 및 근로자 수에 따라 상황이 다를 것이므로 무급/유급 등 정책을 다르게 가져가는 것도 가능할 것입니다. - 하지만, 언급하신 내용처럼 특별한 이유없이 동종의 근로자를 같은 상황에서 차별하는 것으로 판단될 수 있으므로, 이러한 정책을 시행할 경우 내부적으로 기준을 마련하여 시행하였을 것으로 생각됩니다. 그러므로 사업장의 인사담당자에게 지점별 유무급 정책 시행의 기준을 요청하시고, 노동조합이 있다면 노동조합을 통하여 공식적으로 항의하실 수 있는 방법이 있겠습니다. - 그렇지만, 기재하신 바처럼 개개인의 동의를 받아 무급휴가를 시행한 상황이라면, 법률적인 하자를 주장-입증하는 것은 어려움이 있을 것 같습니다.(부당한 강요/압박 등으로 자유로운 의사가 아니었음을 입증해야함).  - 합리적인 대응을 위해서는 무급휴가의 대상인 동료분들과 함께 인근의 공인노무사 사무실에 방문하시어 노무사의 조력을 바탕으로 대처하시는 것이 바람직할 것으로 판단됩니다.",10,2,0.2,0
4,안녕하세요. 한국공인노무사회-네이버 지식iN 상담 공인노무사 김정식 입니다. 휴업기간이 지속되면 휴업 시작일 기준으로 평균임금을 산정하여 지속적으로 적용하면 됩니다.  ,3,0,0.0,0
5,안녕하세요. 로시컴-네이버 지식iN 상담 공인노무사 이기중 입니다. 휴직급여 70%를 받고 있다면 실업급여 사유가 되지 않습니다. 퇴직금은 휴가기간을 제외하고 기존 급여로 산정합니다.,4,0,0.0,0
6,안녕하세요. 로시컴-네이버 지식iN 상담 공인노무사 이기중 입니다. 근로계약을 새로 작성하여 임금이 20% 삭감된 경우 실업급여 수급이 가능합니다.,3,0,0.0,0
8,"안녕하세요. 한국공인노무사회-네이버 지식iN 상담 공인노무사 박종태입니다. 조금이나마 도움을 드리고자 몇 자 적습니다. 질문의 내용으로 보아 코로나19로 인하여 회사측에서 임금을 삭감하려하는데, 이로 인하여 질문자님께서 퇴직할시 고용유지지원금 및 실업급여 상 불이익이 있는지 여부가 궁금하신 것으로 사료됩니다.  고용유지지원금은 코로나19로 인하여 매출액 등이 감소한 사업주가 고용유지조치(휴업·휴직)을 하였을 때 그 인건비를 지원하여 사업주의 부담을 경감시키고 근로자의 실직을 예방하기 위한 정부 지원 제도입니다. 1. 고용유지지원금이 지급이 제한되는 사유는 ①휴업실시기간과 이후 1개월 동안 전체 근로자에 대하여 사업주에 의한 인위적인 감원이 있거나 ②휴업실시기간동안 기존 휴업대상자로 대체 가능한 자를 신규 채용하거나 ③ 이 기간 동안 해고나 권고사직을 하거나 ④고용유지조치계획을 준수하지 않은 것이 확인된 경우 등이 있습니다.  따라서 질문자님께서 자발적으로 이직할 경우에는 지원금 지급이 제한되는 것이 아닐 것으로 보이나, 회사에서 고용유지조치계획서에 휴업조치를 실시할 것이라고 제출하였음에도 이와 달리 근로시간을 단축하지 않으면서 급여만 삭감하였다면 고용유지조치계획을 준수하지 않은 경우에 해당하여 지원금 지급이 제한될 수 있습니다. 다만 이는 사업주에게 지급되는 지원금이 제한되는 것이기에 질문자님에게 직접적인 불이익이 있는 것은 아닐 것으로 사료됩니다. 2. 질문자님께서 임금이 삭감됨에 따라 이직하신다면, 실제 근로조건이 채용 시 제시된 근로조건이나 채용 후 일반적으로 적용받던 근로조건보다 낮아지게 된 경우에 해당하여 실업급여 수급자격이 제한되지 않는 정당한 이직 사유에 해당합니다(고용보험법 시행규칙 제101조 제2항 및 별표2 참조). 다만, 이러한 사유가 이직일 전 1년 이내에 2개월 이상 발생한 경우이고, 피보험기간이 통산하여 180일 이상이 되어야 실업급여를 수급할 수 있을 것입니다.  도움이 되셨길 바라며, 고용유지지원금 신청 및 실업급여 수급 등 추가적인 궁금 사항이 있으시면 문의해 주시기 바랍니다. 박종태 노무사 드림.",11,3,0.273,1
9,"안녕하세요. 로시컴-네이버 지식iN 상담 공인노무사 이기중 입니다. 구직급여를 받을 수 있다는 전제에서 3년 이내의 공백은 전 직장의 기간도 합산하지만, 우선 이직일 이전 18개월 내에 180일 이상 피보험기간이 되어야 하는데 그렇지 못하므로 받을 수 없습니다. 기간을 충족할 경우 해고도 실업급여 대상입니다.",4,0,0.0,0
10,"안녕하세요. 로시컴-네이버 지식iN 상담 공인노무사 이기중 입니다. 권고사직은 실업급여 수급 사유가 됩니다만, 딱 6개월 근무했다면 피보험기간 180일에 미달할 수 있습니다.",3,1,0.333,0
