,url,date,q_title,q_content
0,https://kin.naver.com/qna/detail.nhn?d1id=13&dirId=130104&docId=349137667&qb=7L2U66Gc64KYIOqxsOynk+yduOqwgOyalA==&enc=utf8&section=kin&rank=1&search_sort=0&spq=0,2020.03.06,코로나19 관련 거짓뉴스와 과학적 내용,과학적으로 팩트체크할 수 있는 코로나19 관련 거짓뉴스를 알려주세요! (예를 들어 락스로 셀프 소독을 한다든지 그런거요) 그리고 그 거짓뉴스에서 어떤 부분이 과학적으로 팩트체크할 수 있는지 알려주세요
1,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=1121&docId=350202507&qb=7L2U66Gc64KYIOqxsOynk+yduOqwgOyalA==&enc=utf8&section=kin&rank=2&search_sort=0&spq=0,2020.03.17,(코로나19) 3차 개학연기 관련 질문,"코로나19로 인해 3차 개학연기가 되어 (1차 3/9(월)개학, 2차 3/23(월)개학)4월 6일(월)에 개학을 하게 되었는데요.교육부 브리핑을 보면 전국 유.초.중.고.특수학교가(모두) 이에 해당된다고 하는데요.오늘 오후 1시 30분 즈음 작성된한국일보 기사의 내용 중'다만 이번 개학 연기는 전국 초중고등학교에 일괄적용하지 않고 각 시도 교육감의 자율적인 선택 권고형식으로 진행한다.'라는 내용이 있어요.위의 기사의 내용이 거짓인가요?그냥 전부 다 개학 연기를 하는 게 맞죠?오후 2시에 브리핑 하는데, 그 전부터속보를 띄운 게 뭔가 이상하긴 했습니다.어떻게 되는 게 맞는 건가요?정확하고 빠른 답변 부탁드립니다."
2,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=7010101&docId=348412510&qb=7L2U66Gc64KYIOqxsOynk+yduOqwgOyalA==&enc=utf8&section=kin&rank=3&search_sort=0&spq=0,2020.02.27,신천지 사람들이 마스크준다고 코로나 옮기게하는거 사실인가요?,신천지 사람들이 마스크준다면서 코로나 옮기게 한다는게 사실인가요? 거짓인가요?
3,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=111604&docId=348350190&qb=7L2U66Gc64KYIOqxsOynk+yduOqwgOyalA==&enc=utf8&section=kin&rank=4&search_sort=0&spq=0,2020.02.27,코로나 취업,"요즘 코로나 퍼지고 있는데 취업해도 괜찮을까요??ㅠ충북 쪽이데 바이러스 때문에 알바도 그만뒀는데너무 심각하게 생각한건가라는 생각이 들긴 하는데솔직히 병이 신종이고 변종한다, 변종이 심해 치료제도 힘들거다이런 얘기도 많이 있고 무증상에 잠복기도 길고 사람마다 다르잖아요? 유튜브에서도 코로나에 대해 찾아보는데 뉴스에서 나온것보다더 자세히 나오더라구요 물론 거짓도 있겠지만전염이 너무 잘되고 무증상일 수 있고 잠복기가 언제인지도 모르고잠복기는 그렇다쳐도 무증상인데 심각할 때까지 모르는 케이스도 있고전염이 너무 잘되 기저질환있거나 노인분들 만나면 걸려서 그분들이심각해질 수 있고.. 그럼 걸렸을 수도 있으니 가족, 친구 등등 만나지말고계속 혼자 몇달이 될지는 모르겠지만 자가격리하면서 지내야 하는거잖아요?근데 시간이 지나면 완전 사라지는건지 주변사람 만나도 괜찮은건지검사해도 여러번 검사했을 때 양성나오는 사람도 있고 중국, 캐나다에서확진자가 다시 양성 나왔다는데 완치된 사람들은 진짜 완치가 된건지도모르겠구요. 소수만 그런건지.. 갑자기 건강한 사람이 코로나 걸려서사망했단 기사도 나오고.. 뭐랄까 언제 발생할지 모르는 병이라는 생각에 무서워요 뉴스를 보면 그렇게 심각하게 얘기하지는 않는 것 같은데 제가제가 너무 심하게 걱정하는건가요??요즘 이런저런 생각이 많아 우울하네요..ㅠ제가 얘기한 내용이 다 사실 맞는지 아니면 이중에서 아닌것도 있나요?"
4,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=110602&docId=350457722&qb=7L2U66Gc64KYIOqxsOynk+yduOqwgOyalA==&enc=utf8&section=kin&rank=5&search_sort=0&spq=0,2020.03.19,코로나 확진뜨면 이동경로,코로나 검사해서 확진뜨면 이동 경로 무조건 공개해야 하는 건가요? 그럼 거짓으로 말 하면 어떻게 확인해요?
5,https://kin.naver.com/qna/detail.nhn?d1id=6&dirId=60802&docId=348295390&qb=7L2U66Gc64KYIOqxsOynk+yduOqwgOyalA==&enc=utf8&section=kin&rank=6&search_sort=0&spq=0,2020.02.26,코로나 때문에 곤란해요,회사에서 격주로 일하면서 일하지 않는주에다른 곳에서 일하다가 코로나에 걸려서 회사에 불이익을줄경우 전부다 배상한다고 서류에 싸인을 요구했어요이게 가능한 얘기인가요거기다가 격주로 일하지도 않아요서류자체가 거짓이고 구글에 제 위치가 다 뜨거든요그럼 격주 근무는 거짓이라는것이 밝혀질거구요이경우 싸인한것이 유효한가요
6,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=7010101&docId=348131607&qb=7L2U66Gc64KYIOqxsOynk+yduOqwgOyalA==&enc=utf8&section=kin&rank=7&search_sort=0&spq=0,2020.02.25,코로나 사망자 그냥 폐렴 독감인데 코로나라고 하는 건가요?,아빠가 코로나 사망자들 그냥 폐렴이나 독감인데 정부에서 거짓으로 코로나땜에 사망한 거라고 하시던데 이 말이 맞나요?
7,https://kin.naver.com/qna/detail.nhn?d1id=8&dirId=816&docId=349303621&qb=7L2U66Gc64KYIOqxsOynk+yduOqwgOyalA==&enc=utf8&section=kin&rank=8&search_sort=0&spq=0,2020.03.08,코로나는 언제 끝나나요,코로나 때문에 밖에도 못 나가고 남자친구도 못 만날뿐더러방학은 늘어나지 과제도 점점 많아지고 게다가 여름방학이 4일이란 말도 있던데 대체 언제쯤 없어지는건가요 ? 7~8월에 더워지면 없어진단 말도 있던데 너무 거짓 정보가 많아서 못 믿어서 따로 질문 드립니다 이상한 답변 올라올시 바로 신고하겠습니당
8,https://kin.naver.com/qna/detail.nhn?d1id=8&dirId=80101&docId=348998404&qb=7L2U66Gc64KYIOqxsOynk+yduOqwgOyalA==&enc=utf8&section=kin&rank=9&search_sort=0&spq=0,2020.03.05,"신천지+코로나 나오자마자 안막은 정부솔직히 신종 이라는바이러스만 들어도 무서운데 안막고 뻐김??피해를 얼마나보는거냐.,;; 진짜 학교가고싶다고", 
9,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=1129&docId=348404211&qb=7L2U66Gc64KYIOqxsOynk+yduOqwgOyalA==&enc=utf8&section=kin&rank=10&search_sort=0&spq=0,2020.02.27,신종 코로나 바이러스가 열에 약한게 사실인가요?,신종 코로나 바이러스가 26-27도면 죽는다는 얘기를 들었는데 그게 사실인가요? 기사에서 거짓뉴스라고 하던것 같던데 그럼 코로나는 열에 강한건가요?
