,url,date,q_title,q_content
0,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70117&docId=348123484&qb=7L2U66Gc64KYIO2Mqe2KuOyduOqwgOyalA==&enc=utf8&section=kin&rank=1&search_sort=0&spq=0,2020.02.24,"코로나 관련 질문 몇가지 (선동, 정치질, 종교 꺼지고 팩트만","처음에 코로나 생겼을 때는 별 걱정 안했는데 지금 상태가 심각한거 같아서 질문올립니다.일단, 제목처럼 선동, 정치질, 종교, 이상한 개소리 다 꺼져주세요. 제발모든 의견은 감정이입 없이 그냥 객관적으로 대답해주세요.1. 코로나 증상-> 무조건 생기는 증상 같은거나 주로 생기는 증상2. 감염 경로-> 이거 호흡기 였나요? 그 밖에 다른 것도 있나요?3. 예방 방법-> 손 씻기, 마스크 착용 이외 다른 방법.이렇게 3개 부탁드리고 아래는 뉴스에서 본 내용 질문할게요.1. 신천지 사건 간단하게 정리좀-> 이 교회 이름이 계속 나오는데 이 교회가 뭐해서 그러는겁니까?2. 현 정부의 대처-> 사람들이 계속 ~~해라 하는데 어떻게 해야 막을 수 있고, 지금 정부는 어떻게 대처하고 있나요? (이런식으로 해야 막을 수 있을거다 같은 느낌)3. 중국인과의 접촉-> 중국인과 접촉해서 감염된 확진자가 지금 있나요?4. 백신 진행도-> 얼마전에 백신 개발 중이라는 뉴스를 봤는데 팩트인가요? 그럼 현재 어느정도 진행됬나요?이제 나머지는 제 개인적인 질문.1. 코로나 해결-> 어느정도의 시간이 걸릴까요? (언제쯤 잠잠해지고 코로나가 지나갈까요?)2. 이런 전염병이 해결되는 루트-> 어떤식으로 해결되나요? 메르스나 사스같은 전염병 때랑 비교해서 알기 쉽게 부탁해요3. 완치율, 사망율-> 말 그대로 입니다. 완치율과 사망율이 어느정도 입니까?4. 앞으로의 전망-> 어떻게 될까요. 국회의원도 걸렸다하고 계속 확진자가 나오고 있고... 사망자도 늘고 있고 이거괜찮은거 맞나요? 앞으로 나아지긴 할까요? 치료나 백신 개발같은 것들은 잘 될까요? 등등5. 지역별 감염자.-> 제가 지금 부천에 사는 중인데 부천에 감염자가 몇명이나 있나요?질문이 좀 많은데 부탁드립니다.잘 넘어가겠지 했는데 갑자기 몇일 사이에 감염자가 몇백명씩 늘어나고... 무서워지네요.이 글을 쓴건 그냥 코로나 팩트를 알고싶은거지 정치나 선동, 날조 이런 목적 없습니다.아까 말했던 것처럼 이상한 소리 할거면 가던길 가세요.내공 150 겁니다. 부탁해요"
1,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=7010107&docId=347860924&qb=7L2U66Gc64KYIO2Mqe2KuOyduOqwgOyalA==&enc=utf8&section=kin&rank=2&search_sort=0&spq=0,2020.02.21,코로나 공기감염 팩트인가요?,코로나 공기감염 팩트인가요? 그냥 들숨 날숨하면 걸리는거인가요
2,https://kin.naver.com/qna/detail.nhn?d1id=3&dirId=30207&docId=347861824&qb=7L2U66Gc64KYIO2Mqe2KuOyduOqwgOyalA==&enc=utf8&section=kin&rank=3&search_sort=0&spq=0,2020.02.21,더팩트뮤직어워즈 코로나 연기 취소,"더팩트뮤직어워즈 대리티켓팅도 맡기면서 티켓팅 하는데만 10만원 날리고 코로나 때문에 연기는 확정이고, 티켓팅 다시한다는 얘기가 돌더군요 진짠가요 진짜로 2일은 안자면서 취소표로 구했는데 불안해요 살려주세요ㅠㅜㅜㅜㅜㅠㅠ 진짜 존나 억울해요 진짜 더팩트 담당자?? 찾아가고 싶은데 어쩔까요.... 양도도 아니고 취소표 계속 보면서 얻은 자리거든요...."
3,https://kin.naver.com/qna/detail.nhn?d1id=6&dirId=60906&docId=350250006&qb=7L2U66Gc64KYIO2Mqe2KuOyduOqwgOyalA==&enc=utf8&section=kin&rank=4&search_sort=0&spq=0,2020.03.17,"신천지교회 코로나19 관련 의혹들 팩트 정리된거 코로나19 뉴스만 한달넘게 보는데...코로나 터지면서 방송만 틀면 신천지 신천지 코로나 정보보다 신천지교회 관련 뉴스 더 많이 본듯요~ 대남병원, 대남병원 장례식, 우한교회 이런거 방송에 많이 나오는데... 뭔가 복잡만 하고 결론이 없이 끝나고 흐지부지해져서... 더 고구마같더라구요~ 의혹들이 엄청 많았는데... 결론난게 아직 없는건가요?의혹별로 결론난 팩트가 있음 좋은데... 뉴스들은 연결성들이 없이 의혹만 나오고 뉴스가 넘 많아서.. 시청자 입장에선 관심도가 오히려 떨어지는 느낌이랄까요... 신천지 코로나19 관련 의혹들 팩트 정리된거 있으신분?", 
4,https://kin.naver.com/qna/detail.nhn?d1id=3&dirId=30207&docId=347683437&qb=7L2U66Gc64KYIO2Mqe2KuOyduOqwgOyalA==&enc=utf8&section=kin&rank=5&search_sort=0&spq=0,2020.02.19,코로나 로 더팩트 뮤직 어워드 취소나 연기될 가능성 없을까요 ? 대구에서도 급격히 환자가 다수 발생하고 내국인만 들어갈 가능성도 없는데 좀 불안해서요 ㅠㅜㅜㅜ, 
5,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70117&docId=349405605&qb=7L2U66Gc64KYIO2Mqe2KuOyduOqwgOyalA==&enc=utf8&section=kin&rank=6&search_sort=0&spq=0,2020.03.09,코로나19 팩트체크,"좀 나이드신 분들의 경우 코로나19가 그냥 감기수준인데 정치적으로 이용하는거다라고 말씀하십ㄴ다 물론 정치와 관련이 아예 없다고 하는 것도 틀린 표현이긴 하나, 의학저널과 백과사전?등을 찾아보니 감기는 폐렴과 비슷한 증세를 간혹 보일 뿐. 폐렴으로 이어지지 않고 리노바이러스가 주된 원인인데, 실질적으로 폐렴으로 이어질 수 있고 변이된 코로나 바이러스가 원인인 엄연히 말하면 다른 질병인데 그렇게 여기는 것은 너무 과학적 사실은 신경을 쓰지 않는 것 아닐까요..? 궁금해서 한 번 올려봅니다"
6,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70115&docId=347636030&qb=7L2U66Gc64KYIO2Mqe2KuOyduOqwgOyalA==&enc=utf8&section=kin&rank=7&search_sort=0&spq=0,2020.02.19,코로나 확진자 보면 청소년들은 감염자가 한명도 없는데 청소년은 안걸리나요?, 
7,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70115&docId=346246311&qb=7L2U66Gc64KYIO2Mqe2KuOyduOqwgOyalA==&enc=utf8&section=kin&rank=8&search_sort=0&spq=0,2020.02.02,코로나바이러스증상,23일부터 28일까지 제주여행다녀왔습니다 첫째8살된아이만 고열은아니고 미열만 쭉있습니다 기침 콧물 전혀없고 활기찹니다 근데 왜열이 나는지 병원에서는감기가온거라고 특별한증상도없으니 처방도없었고 열나면 해열제만먹이라고했어요 혹시 코로나감염이 된게아닐까 걱정이되는데 이런증상도 있을까요?
8,https://kin.naver.com/qna/detail.nhn?d1id=6&dirId=6130105&docId=347857323&qb=7L2U66Gc64KYIO2Mqe2KuOyduOqwgOyalA==&enc=utf8&section=kin&rank=9&search_sort=0&spq=0,2020.02.21,경기도 남양주시 오남읍 양지리 대림아파트 코로나19,코로나 19 대림아파트에 의심환자 실려갔다던데이거 팩트인가요?? 혹시 확진은 안뜬건지 진짜 실려간건지도 궁금합니다
9,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=708&docId=348847045&qb=7L2U66Gc64KYIO2Mqe2KuOyduOqwgOyalA==&enc=utf8&section=kin&rank=10&search_sort=0&spq=0,2020.03.03,코로나 걸리면 죽나요,코로나 걸리면 안죽는다는 친구가 있는데 무슨 코로나전에 무슨 병이있으면 죽고 없으면 안죽는다는데 이게 팩트인가요. 정말 처음듣는 소리인데
