	qna_urls	titles	questions	answers	dates
0	https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70117&docId=348686957&qb=7L2U66Gc64KY&enc=utf8&section=kin&rank=1&search_sort=0&spq=0	코로나 증상이 많던데 정확히 어떤 증상이 있나요?제가 지금 감기가 걸렸거든요..그래서 궁금해서 올렸어요.저의 감기 증상은 찬공기에 있으면 기침을 좀 하고 코가 막히고 가레도 있고 열은 없어요.어떤 증상이 코로나 증상이고 저는 코로나 증상에 걸렸는지도 궁금합니다!그리고 만약 감기라면 유자차를 마시면 금방 낫는 다고 하던데 일주일만에 회복이 될까요?안돼더라고 거의 회복이 될수있을까요?감기가 거의 한달동안 하고 있거든요...빠른답변 부탁드립니다.	코로나 증상이 많던데 정확히 어떤 증상이 있나요? 제가 지금 감기가 걸렸거든요..... 어떤 증상이 코로나 증상이고 저는 코로나 증상에 걸렸는지도 궁금합니다! 그리고 만약...	['많이 불편하시겠네요한달동안 낫지 않는다고 하니기관지 알러지나 알러지비염이 동반되어있지않나 싶어요진료는 받고 계시죠?코로나는 증상만으로는 알수 없습니다\u200b\u200b코로나 19 주증상은 발열 기침 폐렴 호흡곤란 목아픔입니다증상이 있다면 외출을 자제하고 집에서 충분히 휴식을 취하면 3-4일동안 경과를 관찰하다가38도이상의 고열이 지속되거나 증상이 심해지면 1339로 전화해서 신고해야합니다']	작성일2020.03.02
1	https://kin.naver.com/qna/detail.nhn?d1id=6&dirId=60802&docId=348525472&qb=7L2U66Gc64KY&enc=utf8&section=kin&rank=2&search_sort=0&spq=0	코로나때문에 휴업	4대보험다때고 30인이상근무를하는 업장에서 일하고있는 정직원입니다. 2월말 퇴사예정였고 코로나사태가 심각해져서(확진자x확진자방문x) 자발적으로 2월21일부터 3월까지 휴업을 하게됐습니다. 2월21일부터 2월말일까지는 무급(연차에서까임)으로 휴업을하고 3월부터는 정부지원을 받는다고 연락이왔는데 2월달 8일간 쉰거는 못받는건가요??? 자세한 법조아시는분 답변부탁드릴게요 퇴직금과 관련된 문제라 심각하네요...	['안녕하세요. 로시컴-네이버 지식iN 상담 공인노무사 백승재 입니다.\u200b1. 네. 무급처리 하지 못합니다.\u200b2. 그 기간도 유급처리되어야 하는데, 전액은 아니더라도,휴업수당으로 평균임금 70퍼센트는 지급되어야 합니다. 아래 코로나 휴업수당 동영상을 참고해주세요.\u200bhttps://youtu.be/go9eQy8AQrw                 \u200b']	작성일2020.02.29
2	https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70103&docId=349166198&qb=7L2U66Gc64KY&enc=utf8&section=kin&rank=3&search_sort=0&spq=0	코로나 목아픔	코로나 걸렸을때 목아픔이물이나 음식 삼킬수 없을 정도로 아프나요??	['안녕하세요. 대한의사협회·네이버 지식iN 상담의사 이세라 입니다.\u200b코로나19 바이러스 감염과 관련된 질문과 궁금증이 많을 것입니다. 현재 증상만으로는 가능성이 떨어집니다. 경과 관찰이 필요합니다.\u200b특히 목 아픔은 코로낭하 관련 없는 경우가 많습니다.\u200b코로나19 감염 여부와 상관없이 당분간 지속적으로 마스크와 손씻기를 해야합니다. 또한 건강한 사람의 경우 크게 문제되지 않으므로 수분 섭취, 영양섭취, 비타민이나 미네랄 보충 그리고 휴식과 수면을 통해 면역을 유지하도록 노력하시기 바랍니다.\u200b\u200b']	작성일2020.03.06
3	https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70119&docId=349236944&qb=7L2U66Gc64KY&enc=utf8&section=kin&rank=4&search_sort=0&spq=0	코로나 증상 등통증	코로나 증상 중에 어깨랑 등통증이 있나요ㅠㅠ? 막 뻐근하고 쑤셔요... 코로나증상에 근육통은 몸살나는거처럼 으슬으슬하면서 전신에 근육통이라는데 저는 어깨,등윗부분만 막 아파요ㅠㅠ 열은 미열이 있고, 기침 없고, 목이 부은 기분이 드네요.	['코로나가 아니라고 단정할 수는 없으나, 부분적인 통증은 근육통일 가능성이 높아보입니다.\u200b         Loading... player_likesound_mutesound_mutesound_volume2sound_volume3 [x]Player Size:0 x 0Current Resolution:0PMax Abr Resolution:0PProtocol:pdCurrent Bandwidth:Average Bandwidth:Buffer Health:Frame Drop Rate:0/0 도움말라이센스Video Statistic Version 4.17.48 (PD)Build Date (2020/2/12)NAVER Corp.     동영상 인코딩 중입니다.5분 이상 소요될 수 있으며, 영상의 길이에 따라 소요 시간은 달라집니다. topleft rightbottom마우스를 드래그 하세요360° Video도움말 MULTI TRACK멀티트랙의 트랙별 영상은 우측 관련영상에서 볼 수 있습니다.선거광고 안내       음소거00:00 | 00:00 화질 선택 옵션 화질  전체화면   광고정보 더보기초 후 SKIP초 후 재생SKIP광고 후 계속됩니다.SNS 공유소스 코드Band Twitter Facebook Blog CafeURL 주소복사HTML 소스544 x 306740 x 416936 x 5261280 x 720복사Flash 미지원으로 Object 코드 퍼가기 기능은 더 이상 지원되지않습니다.도움말 플레이어 URL 복사 레이어 닫기접기/펴기```         \u200bhttps://www.youtube.com/channel/UCs-hwNc_lG5M57FREGUQbGg              일차진료소 마취통증의학에서 다루는 질병들과 마취 지식을 알려드리는 채널입니다. 시간이 날 때 틈틈히 혼자 제작하는 거라서 업로드가 다소 느릴 수 있어 양해바랍니다. 감사합니다 www.youtube.com            \u200b']	작성일2020.03.07
4	https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70103&docId=349212789&qb=7L2U66Gc64KY&enc=utf8&section=kin&rank=5&search_sort=0&spq=0	목아픔 머리아픔 코로나?	울음 참을때 처럼 목아프고 두통이 조금있어요손으로 짚어보니 열은 조금 잇는고 같고 기침도 조금 가끔 나와요 코로나일까요.. ? 검사받으러 가봐야 할까요?	['안녕하세요. 대한의사협회·네이버 지식iN 상담의사 정현화 입니다.코로나와 거리 있어요.집에서 2-3일 지켜 보시고37.5도 이상 열 인후통 기침 있으면 1339나 보건소 연락 해서상담 받아 보세요.\u200b']	작성일2020.03.07
5	https://kin.naver.com/qna/detail.nhn?d1id=6&dirId=6100403&docId=348752426&qb=7L2U66Gc64KY&enc=utf8&section=kin&rank=6&search_sort=0&spq=0	보건소,의료원 공익 코로나	안녕하세요. 보건소 또는 의료원에서 사회복무를 하다가 근무 중 코로나에 감염시 보상 받을 수 있나요?	"[""안녕하세요. 로시컴-네이버 지식iN 상담 공인노무사 강준혁입니다.\u200b'사회복무요원 복무관리 규정'의 [별표 4]에 따르면, (1) 병원체로 인한 감염 사실, (2) 감염균 또는 감염원에 대한 접촉 사실이 확인되고, (3) 감염 발생이 직무와 관련이 있다고 판단되는 경우에는 바이러스 등에 의한 질병을 공무상 질병으로 판단합니다.\u200b때문에 보건소 또는 의료원에서 사회복무 도중 코로나19 감염증 양성으로 확진될 시, 코로나19 바이러스에 노출된 것이 공무상의 요인이라는 점을 입증하면 보상을 받으실 수 있을 것으로 보입니다.\u200b보다 자세한 내용은 네임 카드에 적힌 번호로 연락해 주시면 상세히 설명드리겠습니다.\u200b\u200b답변이 도움이 되셨길 바랍니다.\u200b\u200b감사합니다.""]"	작성일2020.03.02
6	https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70115&docId=349034266&qb=7L2U66Gc64KY&enc=utf8&section=kin&rank=7&search_sort=0&spq=0	코로나인가요	방금 열쟀는데 37.5 , 37.6 나왔고 근육통은 없고 기침 진짜 엄청 가끔식 나오는데 코로나 인가요?	['안녕하세요. 대한의사협회·네이버 지식iN 상담 전문의 최연철 입니다.\u200b안타깝지만 증상만으로는 다른 바이러스/세균에 의한 감염과코로나-19 감염에 의한 증상을 구별할수 없습니다.\u200b혹시라도 호발하는 지역에 거주하고 계시거나,진단된 사람과의 접촉이 의심되는 상황이라면바로 의료기관을 방문하시면 안되고 질병관리본부(1339)나가까운 보건소의 문의하신 뒤에 안내를 받으셔야 합니다.\u200b질문자님의 쾌유를 빕니다. 감사합니다.']	작성일2020.03.05
7	https://kin.naver.com/qna/detail.nhn?d1id=6&dirId=6080401&docId=348690608&qb=7L2U66Gc64KY&enc=utf8&section=kin&rank=8&search_sort=0&spq=0	코로나 해고	코로나사태로 인해 원래 정규직 직원이었는데 갑자기 계약직 (알바)로 나오라고 하네요이런경우도 부당 해고 라고 치나요..?전 갑자기 저말을 들어서 너무 화가나고 당황해서 알바고 뭐고 당장 그만두겠다고 제가 말했습니다.법적으로 부당해고 실업급여를 받을수가 있나요?	['안녕하세요. 로시컴-네이버 지식iN 상담 공인노무사 최창국 입니다.\u200b1. 해고란 사용자측이 근로자의 동의 없이 일방적으로 근로계약관계를 종료하는 것을 말합니다.\u200b2. 현재는 코로나 사태로 사용자측이 해고를 한 것이 아니라 근로조건 변경을 요청한 것에 불과합니다. 이러한 부당한 요청은 거부하고 계속 정규직 근로자로 근로하시면 됩니다, \u200b3. 부당한 요청을 했다는 이유만으로 그만 나오라고 해고 통보를 한 것이 아닌데 그만 두겠다고 말하고 퇴사하면 법적으로 사직으로 처리되어 부당해고를 다투기 어렵고 실업급여 수급도 어렵습니다.\u200b4. 실업급여 수급이 목적이라면 코로나 사태로 회사가 어려워진 경우이므로 권고사직으로 퇴사하는 것으로 협상을 진행하여 권고사직으로 이직처리를 해달라고 하시는 것이 좋을 것으로 보입니다.']	작성일2020.03.02
8	https://kin.naver.com/qna/detail.nhn?d1id=6&dirId=60801&docId=349123493&qb=7L2U66Gc64KY&enc=utf8&section=kin&rank=9&search_sort=0&spq=0	제가 가게를 운영하는데 코로나로 인해 임시휴업을 하고 있어요. 직원들에게 당분간 나오지말라고 이야기 했는데 주변사람들 이야기를 들어보니 쉰다 하더라도 직원들에게 월급을 좀 줘야한다고 해서 그걸 정확히 알고싶네요.	코로나 증상이 많던데 정확히 어떤 증상이 있나요? 제가 지금 감기가 걸렸거든요..... 어떤 증상이 코로나 증상이고 저는 코로나 증상에 걸렸는지도 궁금합니다! 그리고 만약...	['안녕하세요. 한국공인노무사회-네이버 지식iN 상담 노무법인 대안 대표/공인노무사 변성준 입니다.\u200b주변사람들에게 들으신 것은 휴업수당입니다.사용자의 귀책사유로 휴업하는 경우에는 휴업기간 동안 그 근로자에게 평균임금의 100분의 70 이상을 수당으로 지급하여야 합니다.\u200b최근 신종 코로나로 인한 매출감소 등 경영상 이유 또한 사용자의 귀책사유에 해당합니다.\u200b다만, 휴업수당은 상시 근로자 5인 이상 사업장에 적용되는 법규정으로5인 미만 사업장이라면 해당 사항이 없습니다.\u200b답변이 도움이 되셨길 바라겠습니다.']	작성일2020.03.06
9	https://kin.naver.com/qna/detail.nhn?d1id=6&dirId=60802&docId=349036207&qb=7L2U66Gc64KY&enc=utf8&section=kin&rank=10&search_sort=0&spq=0	코로나 단축근무 급여	월 8~9회 휴무 이고 근무시간 9시간(휴계시간1시간포함) 에 연봉제로 근무 중입니다 코로나로 인해 회사사정으로 단축근무 5시간근무하라는데 급여계산이어떻게되나요 ?그리고 이미 작성한 근로계약서로 기간도 안되었는데 이러한 근무변동우로 인해 다시작성 한다는데 새로 작성할수있나요 그리고 보통 휴무일수 전직장에서는 토일개수+국가공휴일 수만큼 쉬었으나, 이사업장은 월기준 30일 8번 31일은 9번 입니다 (5인이상 50명미만 사업장) 이라 해당이 안되나요?	['안녕하세요. 로시컴-네이버 지식iN 상담 공인노무사 신제철 입니다.\u200b질문에 대한 답변입니다.\u200b대략 주5일 근로 1일 8시간 근로로 파악됩니다.\u200b1일 5시간 근로라면 현재 지급받는 급여의 약 63%를 지급받으면 되며, 남은 37%의 단축근로로 인한 휴업에 대해서는 사용자측에서 휴업수당 70%를 지급하여야 합니다.\u200b사업주도 단축근로조치 이전에 고용유지지원금을 위한 계획신고를 고용센터에 접수할 경우 (매출액 15% 이상 감소 등의 요건을 갖춘다면) 근로자에게 지급한 휴업수당의 4분의 3을 지원금 신청을 통해 환수받을 수 있을 것입니다(지원율 4분의 3은 한시적으로 운영).\u200b참고하시기 바랍니다.\u200b감사합니다.']	작성일2020.03.05
