	Topic_Num	Keywords	Num_Documents	Perc_Documents
0	0.0	달, 안녕, 카드, 밤, 날, 해외, 답, 보통, 값, 낮	8	0.0219
1	1.0	사태, 발생, 투자, 이번, 부동산, 전가, 거래, 거부, 최근, 와이프	10	0.0273
2	2.0	규정, 결정, 제한, 올림픽, 법률, 연기, 일본, 제조, 일수, 대표	5	0.0137
3	3.0	일, 보험, 고용, 로, 확인, 후, 연락, 내용, 가입, 인	4	0.0109
4	4.0	가능, 가요, 출퇴근, 주, 돈, 기타, 조정, 측정, 입원, 병원	7	0.0191
5	5.0	휴업, 근로자, 수당, 해당, 사유, 계산, 휴직, 요구, 사업장, 적용	11	0.0301
6	6.0	정부, 휴무, 얼마, 학원, 주변, 강사, 영어, 운영, 사업자, 실	11	0.0301
7	7.0	주식, 미국, 반, 사태, 증, 드, 매입, 키트, 주가, 설명	11	0.0301
8	8.0	지역, 전염병, 대구, 상, 구매, 재난, 대책, 기사, 거주, 모기	12	0.0328
9	9.0	방, 생각, 여행, 취소, 예약, 숙박, 발생, 사용, 채용, 위약금	4	0.0109
10	10.0	이번, 장, 불안, 암호, 하락, 잠, 코인, 화폐, 감염증, 상관	9	0.0246
11	11.0	나라, 우한, 폐렴, 입국, 중국, 금지, 스트레스, 중국인, 비행기, 이해	9	0.0246
12	12.0	월, 작, 중국, 환불, 부분, 납부, 한국, 일정, 세금, 일주	8	0.0219
13	13.0	바이러스, 신종, 사실, 원인, 세균, 질병, 차이, 베트남, 코, 억제	16	0.0437
14	14.0	급여, 근무, 실업, 후, 퇴사, 월급, 주, 변경, 단축, 실제	14	0.0383
15	15.0	사람, 감염, 처벌, 감염자, 위험, 만약, 행위, 유행, 전파, 사실	15	0.041
16	16.0	법, 기준, 이유, 생각, 사업, 기업, 적용, 수, 조, 판단	5	0.0137
17	17.0	부탁, 답변, 종식, 추천, 앞, 남, 지금, 조언, 기, 성공	11	0.0301
18	18.0	상황, 경우, 이상, 직원, 동의, 조건, 이익, 미, 권고사직, 관계	5	0.0137
19	19.0	바이러스, 이유, 신천지, 일반, 교회, 사망, 걸리, 뜻, 교인, 분노	9	0.0246
20	20.0	마스크, 사용, 예방, 착용, 효과, 가격, 서비스업, 산, 우려, 필터	21	0.0574
21	21.0	바이러스, 사회, 종교, 거리, 설, 두기, 근거, 폐쇄, 예배, 절차	9	0.0246
22	22.0	방법, 친구, 활동, 집, 운동, 센터, 우울, 대화, 사람, 부부	10	0.0273
23	23.0	격리, 확진, 경우, 대상, 자, 지침, 범위, 특정, 전체, 동	7	0.0191
24	24.0	학교, 아이, 개학, 연기, 유튜브, 수업, 소득, 핸드폰, 이후, 영상	8	0.0219
25	25.0	휴가, 무급, 가족, 유급, 지원, 로, 사업주, 재량, 동생, 삭감	12	0.0328
26	26.0	소독, 최근, 요즘, 손, 에탄올, 심리, 움, 확산, 방역, 증가	14	0.0383
27	27.0	회사, 강제, 개인, 처리, 의, 조치, 연차, 감염병, 내용, 정	9	0.0246
28	28.0	지급, 관련, 회사, 비용, 진행, 금액, 본인, 기본급, 정보, 예고	7	0.0191
29	29.0	월, 계약, 근로, 상태, 계약서, 신고, 작성, 아르바이트, 간, 위	6	0.0164
30	30.0	경제, 세계, 비트코인, 영향, 반감기, 자산, 안전, 국내, 경기, 여파	16	0.0437
31	31.0	경우, 검사, 환자, 자신, 책, 의사, 의심, 완치, 병가, 이야기	9	0.0246
32	32.0	출근, 일, 기간, 금, 해고, 통보, 수당, 동안, 통상, 하루	6	0.0164
33	33.0	피해, 음식, 병원, 손해, 물질, 관련, 화, 마음, 생각, 정신	5	0.0137
34	34.0	보상, 걱정, 직장, 간, 치료, 상담, 생활, 매출, 환급, 자택	10	0.0273
35	35.0	신청, 지원금, 영업, 건강, 입장, 생계, 부모, 서울, 몸, 긴급	10	0.0273
36	36.0	증상, 감기, 전염, 기침, 대출, 걱정, 백신, 행, 가래, 강아지	17	0.0464
37	37.0	뉴스, 국가, 관련, 국민, 정확, 이번, 직, 의미, 조사, 관심	6	0.0164
