	Topic_Num	Keywords	Num_Documents	Perc_Documents
0	0.0	진료, 불안, 오른쪽, 부탁, 양쪽, 건강, 조심, 손톱, 움, 비인	3	0.0095
1	1.0	열, 아침, 날, 다음, 얼굴, 저녁, 오늘, 인염, 밥, 기분	12	0.0381
2	2.0	역류, 식염, 증이, 염증, 갈비뼈, 위, 최근, 가래, 옆, 아래	14	0.0444
3	3.0	목, 말, 불편, 침, 인과, 이비, 아픔, 부, 식사, 마다	18	0.0571
4	4.0	운동, 소리, 작, 어깨, 힘, 손가락, 뼈, 방법, 요혹, 트	14	0.0444
5	5.0	느낌, 통증, 이물감, 며칠, 소화, 적, 목젖, 천식, 중앙, 불량	10	0.0317
6	6.0	손, 체온, 밖, 사이, 동안, 예방, 목안, 외출, 손목, 살	15	0.0476
7	7.0	감기, 증, 증이, 심장, 몸살, 속, 열, 감기약, 계속, 두근거림	5	0.0159
8	8.0	머리, 요즘, 눈, 진통제, 가능, 감사, 신경, 형, 호흡기, 컨디션	11	0.0349
9	9.0	마스크, 착용, 사용, 옷, 손, 공, 거리, 구매, 집, 세수	11	0.0349
10	10.0	약, 증, 처방, 복용, 신경, 증이, 내원, 맥박, 완화, 저하	8	0.0254
11	11.0	지속, 미열, 귀, 혀, 비인, 피곤, 밤, 어제, 편, 밑	14	0.0444
12	12.0	병원, 왼쪽, 부분, 사진, 선생, 안쪽, 입, 끝, 한, 발	7	0.0222
13	13.0	가슴, 숨, 내과, 엑스레이, 터, 폐, 기관지, 명치, 식, 을	9	0.0286
14	14.0	코, 비염, 호흡, 곤란, 인과, 심, 최근, 잠, 힘, 흉부	11	0.0349
15	15.0	감염, 물, 소독, 스프레이, 바이러스, 집, 가능, 외관, 속옷, 집안	7	0.0222
16	16.0	병원, 항생제, 소변, 진단, 소견, 과, 잇몸, 어금니, 병, 필요	11	0.0349
17	17.0	기침, 가래, 콧물, 인, 통, 재채기, 경우, 동네, 몸살기, 흉통	22	0.0698
18	18.0	열감, 생리, 체온계, 병원, 이유, 검사, 지금, 집, 복용, 생리통	9	0.0286
19	19.0	확진, 방, 근육통, 접촉, 염, 확률, 처방, 대구, 지역, 동선	17	0.054
20	20.0	생각, 아이, 증세, 갑기, 행동, 기, 차, 화, 누나, 음식	7	0.0222
21	21.0	몸, 하루, 태, 두통, 곳, 뒤, 수, 수술, 냄새, 병원	9	0.0286
22	22.0	검사, 선별, 진료소, 차, 결과, 음성, 확인, 속, 위험, 항체	16	0.0508
23	23.0	검사, 병원, 월, 주사, 음성, 가요, 촬영, 부, 판, 공기	5	0.0159
24	24.0	집, 평소, 스트레스, 원인, 관련, 반, 이틀, 민, 영향, 활동	8	0.0254
25	25.0	치료, 피, 생활, 강아지, 건조, 피부, 여드름, 만약, 한국, 쯤	8	0.0254
26	26.0	선생, 감사, 마음, 말씀, 안, 기능, 예, 국, 혈관, 내원	8	0.0254
27	27.0	증, 발열, 황, 염증, 가능, 가족, 친구, 특이, 선생, 여	8	0.0254
28	28.0	주, 복용, 간, 로, 건강, 검진, 영양제, 수치, 술, 최근	7	0.0222
29	29.0	바이러스, 폐렴, 사람, 감염, 중국, 우한, 발생, 침, 할머니, 신종	11	0.0349
