	Topic_Num	Keywords	Num_Documents	Perc_Documents
0	0.0	신청, 지원, 지원금, 긴급, 인, 재난, 소득, 지역, 생활, 기준	2974	0.033
1	1.0	중국, 입국, 나라, 금지, 중국인, 한국, 정부, 국가, 사람, 한국인	2385	0.0265
2	2.0	마스크, 손, 사용, 소독, 바이러스, 예방, 효과, 착용, 일반, 면	5097	0.0566
3	3.0	집, 정도, 운동, 때, 살, 밖, 요즘, 방법, 장, 다이어트	2048	0.0227
4	4.0	친구, 말, 때, 여자, 남자, 연락, 가족, 생각, 애, 사람	1382	0.0153
5	5.0	가능, 가요, 곳, 차, 부산, 서울, 활동, 교사, 부탁, 버스	1965	0.0218
6	6.0	때, 음식, 몸, 면역력, 정도, 걱정, 속, 전, 잠, 물	1996	0.0222
7	7.0	학교, 연기, 개학, 온라인, 학생, 수업, 대학, 이번, 강의, 학년	4114	0.0457
8	8.0	증상, 기침, 목, 열, 가래, 감기, 느낌, 콧물, 숨, 가슴	12214	0.1356
9	9.0	한국, 비자, 미국, 주식, 관련, 일본, 유학, 발급, 가능, 주	3258	0.0362
10	10.0	급여, 회사, 근무, 실업, 무급, 휴가, 월급, 직원, 퇴사, 고용	4408	0.049
11	11.0	전화, 연락, 신고, 문자, 번호, 말, 일, 사람, 얘기, 확인	1487	0.0165
12	12.0	학점, 시험, 자격증, 준비, 취업, 편입, 사회, 은행, 교육, 복지	3103	0.0345
13	13.0	때, 정도, 가능, 프로, 군대, 게임, 상태, 만약, 방법, 전	1503	0.0167
14	14.0	계약, 집, 상황, 월세, 아파트, 이사, 가게, 상태, 보증금, 계약서	1610	0.0179
15	15.0	관련, 경우, 정보, 진행, 내용, 확인, 해당, 발생, 후, 사항	554	0.0062
16	16.0	확진, 검사, 대구, 격리, 지역, 자, 방문, 보건소, 환자, 동선	4496	0.0499
17	17.0	대출, 등급, 신용, 은행, 상공, 사업자, 가능, 자금, 정도, 햇살	5305	0.0589
18	18.0	보험, 가능, 정도, 직장, 가입, 이번, 부탁, 건강, 원, 사태	965	0.0107
19	19.0	추천, 부탁, 컴퓨터, 가격, 인터넷, 구매, 사이트, 사용, 노트북, 감사	2967	0.0329
20	20.0	취소, 여행, 환불, 예약, 가능, 항공, 비행기, 공항, 인천, 상황	3155	0.035
21	21.0	시간, 날, 시, 주, 하루, 다음, 일, 정도, 동안, 뒤	961	0.0107
22	22.0	바이러스, 감염, 폐렴, 신종, 우한, 사람, 위험, 백신, 확률, 이상	4611	0.0512
23	23.0	병원, 치료, 약, 통증, 의사, 수술, 진료, 후, 입원, 처방	2982	0.0331
24	24.0	학원, 공부, 영어, 수학, 선생, 때, 책, 고민, 고등학교, 꿈	3532	0.0392
25	25.0	월, 일, 달, 월일, 상태, 작년, 이번, 기간, 가능, 올해	799	0.0089
26	26.0	개인, 돈, 카드, 정도, 회생, 통장, 상태, 납부, 연체, 금액	2156	0.0239
27	27.0	집, 엄마, 말, 부모, 때, 아빠, 아이, 소리, 동생, 어머니	1688	0.0187
28	28.0	생각, 사람, 문제, 말, 글, 상황, 때, 마음, 이야기, 이해	522	0.0058
29	29.0	신천지, 교회, 사람, 말, 하나님, 종교, 예배, 문제, 단체, 말씀	1701	0.0189
30	30.0	국민, 대통령, 문재인, 경제, 사람, 정부, 나라, 뉴스, 생각, 탄핵	1888	0.021
31	31.0	걱정, 전, 때, 불안, 머리, 택배, 요즘, 시국, 배송, 집	2221	0.0247
